Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,287.3375,-209.01025,270,bottom
C2,4.7uF,C_0603_1608Metric,285.75,-209.01025,270,bottom
C3,100nF,C_0402_1005Metric,300.5455,-207.29575,90,bottom
C4,100nF,C_0402_1005Metric,298.831,-215.138,90,bottom
C5,4.7nF,C_0603_1608Metric,121.412,-102.108,0,bottom
C6,1uF,C_0603_1608Metric,291.43325,-219.2655,0,bottom
C7,4.7uF,C_0603_1608Metric,302.133,-207.29575,90,bottom
C8,10nF,C_0402_1005Metric,291.43325,-217.678,0,bottom
C9,1uF,C_0402_1005Metric,116.459,-149.733,0,bottom
C10,1uF,C_0402_1005Metric,116.0145,-156.4005,0,bottom
D_0,D,D_SOD-123,132.35,-116.832,90,bottom
D_1,D,D_SOD-123,151.4,-116.832,90,bottom
D_2,D,D_SOD-123,170.45,-116.832,90,bottom
D_3,D,D_SOD-123,189.5,-116.832,90,bottom
D_4,D,D_SOD-123,208.55,-116.832,90,bottom
D_5,D,D_SOD-123,227.6,-116.832,90,bottom
D_6,D,D_SOD-123,246.65,-116.832,90,bottom
D_7,D,D_SOD-123,265.7,-116.832,90,bottom
D_8,D,D_SOD-123,284.75,-116.832,90,bottom
D_9,D,D_SOD-123,303.8,-116.832,90,bottom
D_10,D,D_SOD-123,322.85,-116.832,90,bottom
D_11,D,D_SOD-123,341.9,-116.832,90,bottom
D_12,D,D_SOD-123,360.95,-116.832,90,bottom
D_13,D,D_SOD-123,380,-116.832,90,bottom
D_14,D,D_SOD-123,399.05,-116.832,90,bottom
D_15,D,D_SOD-123,418.1,-116.832,90,bottom
